French Name,English Translation,Dutch Translation,Description,Dutch Description,Price Range,Pork,Other Meat,Fish/Seafood,Dairy,Vegetarian,Google Search
Filet de Sole,Sole Fillet,Tongfilet,Pan-fried sole fillet,"Gebakken tongfilet",€18-24,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.google.com/search?q=filet%20de%20sole&tbm=isch
Loup de Mer,Sea Wolf,Zeebaars,Grilled sea wolf,"Gegrilde zeebaars",€16-22,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=loup%20de%20mer&tbm=isch
Rouget,Red Mullet,Rode Mul,Grilled red mullet,"Gegrilde rode mul",€14-18,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=rouget&tbm=isch
Maquereau,Mackerel,Makreel,Grilled mackerel,"Gegrilde makreel",€10-14,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=maquereau&tbm=isch
Dorade,Bream,Brasem,Grilled bream,"Gegrilde brasem",€14-18,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=dorade&tbm=isch
Lotte,Monkfish,Zeeduivel,Grilled monkfish,"Gegrilde zeeduivel",€16-22,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=lotte&tbm=isch
Saint-Pierre,John Dory,Zonnevis,Grilled John Dory,"Gegrilde zonnevis",€18-24,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=saint%20pierre&tbm=isch
Poulpe,Octopus,Octopus,Grilled octopus,"Gegrilde octopus",€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=poulpe&tbm=isch
Seiche,Cuttlefish,Zeekat,Grilled cuttlefish,"Gegrilde zeekat",€12-16,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=seiche&tbm=isch
Calmar,Squid,Inktvis,Grilled squid,"Gegrilde inktvis",€10-14,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.google.com/search?q=calmar&tbm=isch
Fricassée de Fruits de Mer,Seafood Fricassee,Zeevruchten Fricassee,Mixed seafood in cream sauce,"Gemengde zeevruchten in roomsaus",€16-22,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.google.com/search?q=fricassee%20fruits%20de%20mer&tbm=isch
Bourride,Fish Stew,Visstoep,Provençal fish stew with aioli,"Provençaalse visstoep met aioli",€14-18,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.google.com/search?q=bourride&tbm=isch
Rouille,Spicy Sauce,Pittige Saus,Spicy garlic sauce for fish,"Pittige knoflooksaus voor vis",€2-4,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=rouille&tbm=isch
Aïoli,Garlic Mayonnaise,Knoflook Mayonaise,Garlic mayonnaise,"Knoflook mayonaise",€2-4,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=aioli&tbm=isch
Beurre Blanc,White Butter Sauce,Witte Botersaus,White wine butter sauce,"Witte wijn botersaus",€3-5,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=beurre%20blanc&tbm=isch
Hollandaise,Hollandaise Sauce,Hollandaise Saus,Egg yolk and butter sauce,"Eidooier en botersaus",€3-5,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=hollandaise&tbm=isch
Béarnaise,Béarnaise Sauce,Béarnaise Saus,Tarragon butter sauce,"Dragon botersaus",€3-5,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=bearnaise&tbm=isch
Pommes Frites,French Fries,Friet,Crispy French fries,"Krokante Franse friet",€3-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=pommes%20frites&tbm=isch
Pommes Purée,Mashed Potatoes,Aardappelpuree,Creamy mashed potatoes,"Romige aardappelpuree",€4-6,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=pommes%20puree&tbm=isch
Pommes Vapeur,Steamed Potatoes,Gestoomde Aardappelen,Steamed new potatoes,"Gestoomde nieuwe aardappelen",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=pommes%20vapeur&tbm=isch
Riz,Rice,Rijst,French rice,"Franse rijst",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=riz&tbm=isch
Riz Pilaf,Rice Pilaf,Rijst Pilaf,Seasoned rice pilaf,"Gekruide rijst pilaf",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=riz%20pilaf&tbm=isch
Légumes,Vegetables,Groenten,Seasonal vegetables,"Seizoensgroenten",€4-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=legumes&tbm=isch
Courgettes,Zucchini,Courgettes,Sautéed zucchini,"Gebakken courgettes",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=courgettes&tbm=isch
Aubergines,Eggplant,Aubergines,Grilled eggplant,"Gegrilde aubergines",€5-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=aubergines&tbm=isch
Poivrons,Peppers,Paprika,Roasted peppers,"Geroosterde paprika",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=poivrons&tbm=isch
Tomates Provençales,Provençal Tomatoes,Provençaalse Tomaten,Baked tomatoes with herbs,"Gebakken tomaten met kruiden",€5-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=tomates%20provencales&tbm=isch
Artichaut,Artichoke,Artisjok,Steamed artichoke,"Gestoomde artisjok",€6-9,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=artichaut&tbm=isch
Asperges,Asparagus,Asperges,Steamed asparagus,"Gestoomde asperges",€6-9,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=asperges&tbm=isch
Petits Pois,Green Peas,Groene Erwten,Fresh green peas,"Verse groene erwten",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=petits%20pois&tbm=isch
Chou,Cabbage,Kool,Braised cabbage,"Gestoomde kool",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=chou&tbm=isch
Chou-fleur,Cauliflower,Bloemkool,Steamed cauliflower,"Gestoomde bloemkool",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=chou%20fleur&tbm=isch
Brocolis,Broccoli,Broccoli,Steamed broccoli,"Gestoomde broccoli",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=brocolis&tbm=isch
Carottes,Carrots,Wortelen,Glazed carrots,"Geglazuurde wortelen",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=carottes&tbm=isch
Navets,Turnips,Rapen,Braised turnips,"Gestoomde rapen",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=navets&tbm=isch
Fenouil,Fennel,Venkel,Braised fennel,"Gestoomde venkel",€5-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=fenouil&tbm=isch
Endives,Endives,Andijvie,Braised endives,"Gestoomde andijvie",€5-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=endives&tbm=isch
Poireaux,Leeks,Prei,Braised leeks,"Gestoomde prei",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=poireaux&tbm=isch
Céleri,Celery,Selderij,Braised celery,"Gestoomde selderij",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=celeri&tbm=isch
Betteraves,Beetroot,Rode Biet,Roasted beetroot,"Geroosterde rode biet",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=betteraves&tbm=isch
Radis,Radishes,Radijs,Fresh radishes,"Verse radijs",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=radis&tbm=isch
Concombre,Cucumber,Komkommer,Fresh cucumber,"Verse komkommer",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=concombre&tbm=isch
Salade de Fruits,Fruit Salad,Fruitsalade,Fresh fruit salad,"Verse fruitsalade",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=salade%20de%20fruits&tbm=isch
Poires,Pears,Peren,Poached pears,"Gepocheerde peren",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=poires&tbm=isch
Pommes,Apples,Appels,Baked apples,"Gebakken appels",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=pommes&tbm=isch
Fraises,Strawberries,Aardbeien,Fresh strawberries,"Verse aardbeien",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=fraises&tbm=isch
Framboises,Raspberries,Frambozen,Fresh raspberries,"Verse frambozen",€6-9,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=framboises&tbm=isch
Myrtilles,Blueberries,Blauwe Bessen,Fresh blueberries,"Verse blauwe bessen",€6-9,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=myrtilles&tbm=isch
Cerises,Cherries,Kersen,Fresh cherries,"Verse kersen",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=cerises&tbm=isch
Pêches,Peaches,Perziken,Fresh peaches,"Verse perziken",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=peches&tbm=isch
Abricots,Apricots,Abrikozen,Fresh apricots,"Verse abrikozen",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=abricots&tbm=isch
Prunes,Plums,Pruimen,Fresh plums,"Verse pruimen",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=prunes&tbm=isch
Raisins,Grapes,Druiven,Fresh grapes,"Verse druiven",€4-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=raisins&tbm=isch
Melon,Melon,Meloen,Fresh melon,"Verse meloen",€4-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=melon&tbm=isch
Ananas,Pineapple,Ananas,Fresh pineapple,"Verse ananas",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=ananas&tbm=isch
Oranges,Oranges,Sinaasappels,Fresh oranges,"Verse sinaasappels",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=oranges&tbm=isch
Citrons,Lemons,Citroenen,Fresh lemons,"Verse citroenen",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=citrons&tbm=isch
Pamplemousse,Grapefruit,Grapefruit,Fresh grapefruit,"Verse grapefruit",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=pamplemousse&tbm=isch
Figues,Figs,Vijgen,Fresh figs,"Verse vijgen",€6-9,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=figues&tbm=isch
Bananes,Bananas,Bananen,Fresh bananas,"Verse bananen",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=bananes&tbm=isch
Kiwis,Kiwis,Kiwi's,Fresh kiwis,"Verse kiwi's",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=kiwis&tbm=isch
Mangue,Mango,Mango,Fresh mango,"Verse mango",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=mangue&tbm=isch
Sorbet,Sorbet,Sorbet,Fruit sorbet,"Fruitsorbet",€4-7,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=sorbet&tbm=isch
Glace,Ice Cream,IJs,French ice cream,"Frans ijs",€4-7,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=glace&tbm=isch
Café Glacé,Iced Coffee,IJskoffie,Iced coffee,"IJskoffie",€4-6,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.google.com/search?q=cafe%20glace&tbm=isch
Thé Glacé,Iced Tea,IJsthee,Iced tea,"IJsthee",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=the%20glace&tbm=isch
Limonade,Lemonade,Limonade,Fresh lemonade,"Verse limonade",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=limonade&tbm=isch
Orangeade,Orange Juice,Sinaasappelsap,Fresh orange juice,"Verse sinaasappelsap",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=orangeade&tbm=isch
Citronnade,Lemon Juice,Citroensap,Fresh lemon juice,"Verse citroensap",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=citronnade&tbm=isch
Jus de Pomme,Apple Juice,Appelsap,Fresh apple juice,"Verse appelsap",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=jus%20de%20pomme&tbm=isch
Jus de Raisin,Grape Juice,Druivensap,Fresh grape juice,"Verse druivensap",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=jus%20de%20raisin&tbm=isch
Diabolo,Flavored Soda,Gearomatiseerde Frisdrank,Flavored sparkling water,"Gearomatiseerd bruisend water",€3-5,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=diabolo&tbm=isch
Monaco,Monaco Cocktail,Monaco Cocktail,Beer with grenadine and lemon,"Bier met grenadine en citroen",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=monaco%20cocktail&tbm=isch
Panaché,Shandy,Shandy,Beer mixed with lemonade,"Bier gemengd met limonade",€4-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=panache&tbm=isch
Bière,Beer,Bier,French beer,"Frans bier",€3-6,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=biere&tbm=isch
Cognac,Cognac,Cognac,French brandy,"Franse brandy",€6-15,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=cognac&tbm=isch
Armagnac,Armagnac,Armagnac,French brandy from Gascony,"Franse brandy uit Gascogne",€6-15,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=armagnac&tbm=isch
Calvados,Calvados,Calvados,Apple brandy from Normandy,"Appel brandy uit Normandië",€6-12,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=calvados&tbm=isch
Chartreuse,Chartreuse,Chartreuse,Herbal liqueur,"Kruiden likeur",€6-10,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=chartreuse&tbm=isch
Bénédictine,Bénédictine,Bénédictine,Herbal liqueur from Normandy,"Kruiden likeur uit Normandië",€6-10,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=benedictine&tbm=isch
Grand Marnier,Grand Marnier,Grand Marnier,Orange cognac liqueur,"Sinaasappel cognac likeur",€6-12,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=grand%20marnier&tbm=isch
Cointreau,Cointreau,Cointreau,Orange liqueur,"Sinaasappel likeur",€6-10,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=cointreau&tbm=isch
Cassis,Blackcurrant Liqueur,Zwarte Bessen Likeur,Blackcurrant liqueur,"Zwarte bessen likeur",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=cassis&tbm=isch
Kirsch,Cherry Brandy,Kersenjenever,Cherry brandy,"Kersenjenever",€6-10,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=kirsch&tbm=isch
Poire Williams,Pear Brandy,Perenjenever,Pear brandy,"Perenjenever",€6-10,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=poire%20williams&tbm=isch
Mirabelle,Plum Brandy,Pruimenjenever,Plum brandy,"Pruimenjenever",€6-10,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=mirabelle&tbm=isch
Framboise,Raspberry Liqueur,Frambozen Likeur,Raspberry liqueur,"Frambozen likeur",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=framboise&tbm=isch
Noix,Walnut Liqueur,Walnoot Likeur,Walnut liqueur,"Walnoot likeur",€5-8,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.google.com/search?q=noix&tbm=isch
